문제 번호,문제,보기 1,보기 2,보기 3,보기 4,보기 5,정답,해설
22,"배수지 운영관리 기본사항 중 배수지의 용량 설정에 있어 ""수도법 시행규칙 별표3 수도시설의 세부시설기준""에서 표준으로 하는 용량 기준은?",(1) 계획1일최대급수량의 6시간분 이상,(2) 계획1일최대급수량의 8시간분 이상,(3) 계획1일최대급수량의 10시간분 이상,(4) 계획1일최대급수량의 12시간분 이상,(5) 계획1일최대급수량의 24시간분 이상,4,"배수지 운영관리 기본사항에서 ""'수도법 시행규칙 별표3 수도시설의 세부시설기준'에서는 배수지의 용량은 계획1일최대급수량의 12시간분 이상을 표준으로 하고 있다""고 명시되어 있습니다."
23,배수지 운전 시 주의사항으로 옳지 않은 것은?,"(1) 배수지 수위는 유효저수량 내에서 사용하며, 최저수위 이하에서 사용하지 않는다.",(2) 배수지 수위는 월류되지 않도록 상시 감시한다.,"(3) 유입, 유출의 각 밸브 개도와 유량을 도표로 하여 밸브 조작 시 유량을 바로 알 수 있도록 해둔다.","(4) 정수량이 부족하여 다음 날 아침까지 계획저수량에 미치지 못하는 경우, 화재 등의 사고 시에는 야간 유출밸브를 제한한다.",(5) 관 말단의 잔류염소농도 확보를 위해 염소제 추가 주입설비를 검토할 수 있다.,4,"배수지 운전 시 주의사항 중 용량 부족 시 대책으로 ""정수량이 부족하여 다음 날 아침까지 계획저수량에 미치지 못하는 경우에는 사용량이 감소하는 야간에 유출밸브로 제어하도록 한다. 다만, 화재 등의 사고인 경우에는 제한을 신속히 해제하여야 한다""고 명시되어 있습니다. 따라서 화재 시에 제한을 하는 것은 옳지 않습니다."
24,수도미터의 검정유효기간에 대한 설명으로 옳은 것은?,"(1) 구경 50mm 이하는 6년, 50mm 초과는 8년","(2) 구경 50mm 이하는 8년, 50mm 초과는 6년",(3) 모든 구경에 대해 5년,(4) 모든 구경에 대해 10년,(5) 수도미터의 형식에 따라 유효기간이 달라진다.,2,"수도미터 문제점별 대책 중 계획정비 및 교체 항목에서 ""수도미터 검정유효기간 : 구경 50 이하 8년, 50 초과 6년""으로 명시되어 있습니다."
25,저수조 청소업의 인력 기준 중 청소감독원에 해당하지 않는 사람은?,(1) 환경(수질부문) 산업기사 이상의 자격이 있는 사람,(2) 토목 위생 관련 산업기사 이상의 자격이 있는 사람,(3) 정수시설운영관리사의 자격이 있는 사람,(4) 전문대학 이공계통 관련 학과 졸업자로서 환경 또는 수질 관련 과목을 10학점 이상 이수한 사람,(5) 상수도 분야 3년 이상 경력소유자,4,"저수조 청소업의 인력 및 장비기준 [별표 7의2]에 따르면 청소감독원 인력 기준 중 전문대학 또는 이에 준하는 각종 학교의 이공계통 관련 학과 졸업자는 ""환경이나 수질관련 과목을 20학점 이상"" 이수해야 합니다. 따라서 10학점 이상 이수한 사람은 청소감독원 기준에 해당하지 않습니다."
26,수도법상 '급수설비'의 정의에 포함되지 않는 것은 무엇인가?,1. 수도사업자가 일반 수요자에게 원수나 정수를 공급하기 위하여 설치한 배수관으로부터 분기하여 설치된 급수관,2. 옥내급수관,3. 계량기,4. 저수조,5. 취수시설,5,"수도법 제3조에 따르면 '급수설비'는 수도사업자가 일반 수요자에게 원수나 정수를 공급하기 위하여 설치한 배수관으로부터 분기하여 설치된 급수관(옥내급수관을 포함한다), 계량기, 저수조, 수도꼭지, 그 밖에 급수를 위하여 필요한 기구(器具)를 말합니다. 취수시설은 '수도시설'의 일부로 정의됩니다."
27,수도법 제14조에 따라 물에 접촉하는 수도용 자재나 제품을 제조 또는 수입하려는 자가 미리 환경부장관으로부터 인증을 받아야 하는 주요 목적은 무엇인가?,1. 제품의 디자인 심미성 평가,2. 제품의 시장 경쟁력 확보,3. 해당 수도용 자재와 제품이 대통령령으로 정하는 위생안전기준에 맞는지 확인,4. 제조사의 기술력 검증,5. 유통 경로의 투명성 확보,3,"수도법 제14조에 따르면, 수도시설 중 물에 접촉하는 수도용 자재나 제품을 제조 또는 수입하려는 자는 미리 환경부장관으로부터 그 수도용 자재와 제품이 대통령령으로 정하는 위생안전기준에 맞는지에 대하여 인증을 받아야 합니다. 이는 수돗물의 위생 안전을 확보하기 위함입니다."
28,상수도관망시설운영관리사 1급의 자격요건 중 하나로 명시된 것은 무엇인가?,1. 상수도 분야 학사 학위 취득자,2. 정수시설운영관리사 3급 자격 취득 후 2년 이상 실무경력자,3. 상수도관망시설운영관리사 2급 자격을 취득한 후 관련 분야에서 3년 이상 실무에 종사한 사람,4. 상하수도 관련 분야의 산업기사 자격 취득 후 5년 이상 실무경력자,5. 상수도 분야 기술사 자격 취득자,3,"수도법 시행령 [별표 3의2] 상수도관망시설운영관리사의 자격요건에 따르면, 상수도관망시설운영관리사 1급 자격요건 중 하나는 ""상수도관망시설운영관리사 2급 자격을 취득한 후 수도시설의 설치·유지·관리와 관련된 분야에서 3년 이상 실무에 종사""한 사람입니다."
29,"수도법 시행령 [별표 2의2]에 따른 상수도관망시설 운영관리사 1급 및 2급 배치 기준 중, 급수인구 1,000,000명 이상일 때의 배치 기준으로 옳은 것은?",1. 상수도관망시설운영관리사 2급 1명 이상,2. 상수도관망시설운영관리사 2급 2명 이상,3. 상수도관망시설운영관리사 1급 1명 이상,"4. 상수도관망시설운영관리사 1급 1명 이상, 2급 2명 이상","5. 상수도관망시설운영관리사 1급 2명 이상, 2급 2명 이상",5,"수도법 시행령 [별표 2의2] 상수도관망시설운영관리사의 배치기준에 따르면, 급수인구 1,000,000명 이상인 경우 상수도관망시설운영관리사 1급 2명 이상, 상수도관망시설운영관리사 2급 2명 이상을 배치해야 합니다."
30,수도법 제21조의2에 따라 일반수도사업자가 상수도관망을 효율적이고 체계적으로 유지 관리하기 위해 수행해야 하는 업무가 아닌 것은?,1. 상수도관망정비계획의 수립 및 시행,2. 상수도관망의 목표 유수율 유지관리계획의 수립 및 시행,3. 상수도관망의 누수탐사·복구 등 누수 관리,4. 상수도관망의 점검·정비,5. 수도용 자재 및 제품의 위생안전기준 인증,5,"수도법 시행령 제34조의3에 따르면 일반수도사업자가 상수도관망을 효율적이고 체계적으로 유지 관리하기 위하여 수행해야 할 업무는 상수도관망정비계획 수립 및 시행, 목표 유수율 유지관리계획 수립 및 시행, 누수탐사·복구 등 누수 관리, 그리고 상수도관망의 점검·정비입니다. 수도용 자재 및 제품의 위생안전기준 인증은 제조 또는 수입하려는 자의 의무입니다."
31,수도법 시행규칙 제12조의2에 따른 상수도관망 중점관리지역 지정 기준에 해당하지 않는 것은?,1. 수질사고 및 수질민원이 반복적으로 발생하거나 발생할 우려가 있는지 여부,2. 상수도관망의 노후 정도,3. 상수도관망 시설물의 정보관리 시스템 구축 여부,4. 수질사고가 발생할 경우 큰 피해가 발생할 우려가 있는지 여부,5. 법 제26조제2항에 따른 수질기준 위반의 우려가 있는지 여부,3,"수도법 시행규칙 제12조의2에 따르면 상수도관망 중점관리지역의 지정 기준은 수질사고 및 수질민원 발생 여부, 상수도관망의 노후 정도, 수질사고 발생 시 큰 피해 우려 여부, 그리고 수질기준 위반 우려 여부입니다. 시설물의 정보관리 시스템 구축 여부는 중점관리지역 지정 기준에 직접적으로 명시되어 있지 않습니다."
32,상수도관망시설유지관리업무 세부기준 제8조에 명시된 일반수도사업자가 상수도관망시설의 성능 유지를 위해 점검·정비 계획을 수립하고 시행해야 할 대상에 해당하지 않는 것은?,1. 관로,2. 밸브 및 밸브실,3. 배수지,4. 취수시설,5. 가압장,4,"상수도관망시설유지관리업무 세부기준 제8조에 따르면 일반수도사업자는 상수도관망시설의 성능이 지속적으로 유지될 수 있도록 관로, 밸브 및 밸브실, 배수지, 가압장, 기타시설(유량계, 수압계, 수질계측기 등을 포함한다) 등에 대한 점검·정비 계획을 수립하고 이를 시행해야 합니다. 취수시설은 상수도관망시설 유지관리 업무의 직접적인 대상 범위에 포함되지 않습니다."
33,상수도관망시설유지관리업무 세부기준 제9조에 따라 상수도관망시설 정보관리를 위해 배치해야 하는 전담인력은 최소 몇 명 이상인가?,1. 1명,2. 2명,3. 3명,4. 4명,5. 5명,1,"상수도관망시설유지관리업무 세부기준 제9조에 명시된 바와 같이, ""상수도관망시설 정보관리를 위해 관련된 전담인력을 1명 이상 배치해야 합니다."
34,주택건설기준 등에 관한 규정 제35조에 따라 공동주택을 건설하는 주택단지에 비상용수를 공급할 수 있도록 설치해야 하는 시설은 무엇인가?,1. 해수 담수화 시설,2. 빗물 저류 시설,3. 지하양수시설 또는 지하저수조시설,4. 이동식 급수 차량 보관소,5. 오수 재이용 시설,3,"주택건설기준 등에 관한 규정 제35조에 따르면, 공동주택을 건설하는 주택단지에는 먹는물관리법 제5조의 규정에 의한 먹는물의 수질기준에 적합한 비상용수를 공급할 수 있는 지하양수시설 또는 지하저수조시설을 설치하여야 합니다."
35,"송배수시설 운영관리 시, 정수장에서 최종 수용가 공급 시까지 관내 체류시간은 수질관리 관점에서 일반적으로 얼마 이내로 권장하는가?",1. 24시간,2. 48시간,3. 72시간,4. 96시간,5. 120시간,3,"송배수시설의 운영 고려사항에서, ""잔류염소 유지, 소독부산물 생성억제 등 수질관리 관점에서 정수장에서 최종 수용가 공급시까지 관내 체류시간은 72시간 이내로 권장하고 있습니다."
36,다음 중 급수불량의 원인과 대책으로 옳지 않은 것은?,1. 상수원수의 부족은 상수원의 개발이나 개량공사 또는 제한급수 등으로 대책을 마련할 수 있다.,"2. 배수관의 용량이 부족한 경우, 노후된 주철관이나 강관의 관석 제거를 위해 관을 세관 및 도장 등으로 갱생할 필요가 있다.","3. 배수관망에서 상호 연결이 불충분하여 국부적으로 낮은 수압부분이 생기는 경우, 관망계산을 통해 적절하게 상호 연결하여 해결할 수 있다.","4. 광범위한 배수구역의 말단 또는 고지대에서 수압이 극단적으로 저하될 경우, 배수관로의 도중에 감압밸브를 설치하여 수압을 증가시키는 것이 바람직하다.","5. 수도계량기의 스트레이너에 이물질이 끼어 급수불량이 될 경우, 수도계량기를 뜯어서 청소해야 한다.",4,"급수불량의 원인과 대책 중 수압 저하 문제에 대해, ""광범위한 배수구역의 말단 또는 고지대 등에서는 수압이 극단적으로 저하해서 급수불량이 되는 경우가 많으므로 수압을 필요한 정도로 유지하기 위해 배수관로의 도중에 압력을 증가시키는 가압펌프를 설치하는 것이 바람직하다""고 되어 있습니다. 감압밸브는 수압이 높은 구역에 설치하여 수압을 낮추는 역할을 합니다."
37,수도미터의 '설치봉인'에 대한 설명으로 옳은 것은?,1. 수도미터가 '수도미터 기술기준'에 적합하게 제조되었음을 증명하는 봉인이다.,2. 검정 유효기간이 만료되는 연월이 각인되도록 하는 봉인이다.,3. 수용가에서 수도미터를 해체하여 조작 및 사제로 교체하는 것을 예방하기 위해 설치 후 자체적으로 수행하는 봉인이다.,4. 가정용 15mm 수도미터에만 의무적으로 적용된다.,5. 봉인 장치로 니퍼 대신 펜치를 사용한다.,3,"설치봉인'은 ""수용가에서 수도미터를 해체하여 조작 및 사제로 교체하는 것을 예방하기 위해 설치 후 자체적으로 수행하는 봉인""입니다. '검정봉인'은 수도미터의 제조 적합성과 검정 당시 상태 보존을 위한 봉인이며, '설치봉인'은 가정용 15mm를 제외한 전체 수용가에 적용됩니다. 봉인 장치로는 봉인선, 봉인몸체, 니퍼가 사용됩니다."
38,"배수지의 운영관리 기본사항 중, '수도법 시행규칙 별표3 수도시설의 세부시설기준'에 따른 배수지의 표준 용량 기준은?",1. 계획1일최대급수량의 6시간분 이상,2. 계획1일최대급수량의 8시간분 이상,3. 계획1일최대급수량의 12시간분 이상,4. 계획1일최대급수량의 16시간분 이상,5. 계획1일최대급수량의 24시간분 이상,3,"배수지 운영관리 기본사항에 따르면, ""'수도법 시행규칙 별표3 수도시설의 세부시설기준'에서는 배수지의 용량은 계획1일최대급수량의 12시간분 이상을 표준으로 하고 있습니다."
39,대형건축물 등의 소유자 또는 관리자가 저수조 청소를 실시해야 하는 최소 주기는?,1. 매월 1회 이상,2. 분기 1회 이상,3. 반기 1회 이상,4. 연 1회 이상,5. 2년에 1회 이상,3,"수도법 시행규칙 제22조의3에 따르면 ""대형건축물등의 소유자 또는 관리자는 반기 1회 이상 저수조를 청소하여야 하고, 월 1회 이상 저수조의 위생상태를 별표 6의2에 따라 점검하여야 합니다."
40,저수조 청소업의 인력 기준 중 '청소감독원'의 자격 요건으로 옳지 않은 것은?,1. 환경(수질부문)·토목·위생·화공 등 산업기사 이상의 자격이 있는 사람,2. 정수시설운영관리사의 자격이 있는 사람,3. 전문대학 또는 이에 준하는 각종 학교의 이공계통 관련 학과 졸업자로서 환경이나 수질관련 과목을 20학점 이상 이수한 사람,4. 상수도 분야 3년 이상 경력소유자,5. 상수도 분야 기능사 이상의 자격이 있는 사람,5,"저수조 청소업의 인력 및 장비기준에 따르면 청소감독원은 '환경(수질부문)·토목·위생·화공 등 산업기사 이상의 자격이 있는 사람', '정수시설운영관리사의 자격이 있는 사람', '전문대학 또는 이에 준하는 각종 학교의 이공계통 관련 학과 졸업자로서 환경이나 수질관련 과목을 20학점 이상 이수한 사람', 또는 '상수도 분야 3년 이상 경력소유자' 중 어느 하나에 해당해야 합니다. 기능사 자격은 명시되어 있지 않습니다."
